interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-13 15:37:12,135,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-13 17:20:01,148,
call,in,e849211f63f429f02c9852d61c5ce2742b2ca727,2016-07-13 18:00:36,349,
call,out,658621e8dbada6ddcc14df65902a8dde1b79175b,2016-07-13 18:06:52,1260,
call,out,1936119843de815edb9996b18148a897368a639a,2016-07-14 10:24:48,60,
call,in,e849211f63f429f02c9852d61c5ce2742b2ca727,2016-07-14 11:44:25,,
text,out,64ecde3a3500e85b3e1a8aaf77704677e8a97713,2016-07-14 11:49:20,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-14 11:55:40,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-14 11:58:27,225,
text,in,8fea1791eba929dbae3bddfe64861f86679deeaf,2016-07-14 12:00:07,,
call,out,e849211f63f429f02c9852d61c5ce2742b2ca727,2016-07-14 12:02:52,14,
call,out,81aa9d0395ef4e3ad05bfe3eae60e33bf7cd6e34,2016-07-14 14:18:51,17,
call,out,a7aba1cb6704b193648271d0c8a0cce270ad522a,2016-07-15 14:42:36,296,
call,in,617f46e54868130e8c9753e812a4b6f63470e25c,2016-07-15 16:51:26,201,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-16 13:27:04,93,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-16 19:09:02,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-18 14:38:18,166,
call,out,5bb36e04c21908a54989992e7ebbcb5043f93b48,2016-07-18 15:29:04,51,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-19 12:39:23,293,
text,out,507feffbdb4d57d0295203919f45a0ccd126e66d,2016-07-19 21:02:11,,
