datetime,interaction,direction,correspondent_id,call_duration
2011-03-04 23:50:19,call,out,ead1de0e5518ef559314b124d1bfe0bd8cec0b4a,106
2011-03-05 10:01:25,call,in,e02e8dd1f6385e2f0c46e59c03307e9429b1f86b,31
2011-03-05 13:55:09,call,out,270f6d0bcb405467fe26cc2b3942077f1c1cb1f9,704
2011-03-06 02:39:56,call,out,fa10-01-02,29
2011-03-06 03:52:14,call,out,b75060ceff5e41d3e04ceabdd276abeb3043cb66,42
2011-03-06 03:51:35,call,out,b75060ceff5e41d3e04ceabdd276abeb3043cb66,5
2011-03-06 03:50:02,call,out,fa10-01-02,19
2011-03-06 03:49:13,call,out,fa10-01-02,18
2011-03-06 08:36:26,call,out,b75060ceff5e41d3e04ceabdd276abeb3043cb66,2
2011-03-06 08:56:14,call,out,daa9dece01c48da4635bf5f250142cfb6577d822,1264
2011-03-06 08:42:29,call,out,daa9dece01c48da4635bf5f250142cfb6577d822,0
2011-03-06 10:24:01,call,in,2323078969443c45495d03a39d4b0f09badcc049,142
2011-03-06 10:34:01,call,out,fa10-01-01,50
2011-03-06 11:01:59,call,out,fa10-01-02,20
2011-03-06 13:27:31,call,out,918ffd14f9c589be5173f089c154e19a74a7597f,0
2011-03-06 13:21:55,call,out,fa10-01-02,0
2011-03-06 13:21:17,call,out,fa10-01-01,26
2011-03-06 15:16:18,call,out,953d393a6f3ecda8c9059a4a18ddd2df89d5a5aa,8
2011-03-06 16:50:17,call,out,fa10-01-01,0
2011-03-06 16:50:06,call,out,fa10-01-02,0
2011-03-06 17:09:52,call,out,b75060ceff5e41d3e04ceabdd276abeb3043cb66,0
2011-03-06 16:55:30,call,out,953d393a6f3ecda8c9059a4a18ddd2df89d5a5aa,0
2011-03-06 17:31:44,call,out,fa10-01-02,526
2011-03-06 19:14:59,call,out,fa10-01-01,27
2011-03-06 19:08:31,call,out,fa10-01-02,5
2011-03-06 20:50:33,call,out,fa10-01-01,33
2011-03-06 21:00:31,call,in,b75060ceff5e41d3e04ceabdd276abeb3043cb66,40
2011-03-07 08:13:52,call,in,7bcb87774bb1a0ee9bc10c32bf944b9219c7676a,463
2011-03-07 10:11:12,call,out,fa10-01-02,123
2011-03-07 09:57:47,call,out,a906f8dc637e2a4fd50601904dc83322ef982ce1,3
2011-03-07 11:02:35,call,out,fa10-01-02,37
2011-03-07 11:01:45,call,out,fa10-01-01,39
2011-03-07 10:58:36,call,out,4b59aa5179cb3d8cb8b47ecd45f0af29b236f078,167
2011-03-07 10:18:18,call,out,daa9dece01c48da4635bf5f250142cfb6577d822,227
2011-03-07 10:17:21,call,out,fa10-01-01,31
